title,release_date,rating_count,rating_avg,movieId,movieIdx
Pocahontas,1995-06-14 00:00:00+00:00,64,3.02,48,43

When Night Is Falling,1995-05-05 00:00:00+00:00,7,2.57,49,44

The Usual Suspects,1995-07-19 00:00:00+00:00,206,4.40,50,45

Guardian Angel,1994-11-22 00:00:00+00:00,5,2.40,51,46

Mighty Aphrodite,1995-09-13 00:00:00+00:00,55,3.67,52,47

Lamerica,1994-01-01 00:00:00+00:00,6,2.83,53,48

The Big Green,1995-09-29 00:00:00+00:00,4,3.50,54,49

Georgia,1995-05-19 00:00:00+00:00,4,2.25,55,50

Kids of the Round Table,1997-07-08 00:00:00+00:00,2,2.50,56,51

Home for the Holidays,1995-11-02 00:00:00+00:00,19,3.11,57,52

The Postman,1994-09-22 00:00:00+00:00,6,2.67,58,53

The Confessional,1995-09-29 00:00:00+00:00,6,3.67,59,54

The Indian in the Cupboard,1995-07-14 00:00:00+00:00,36,2.97,60,55

Eye for an Eye,1996-01-12 00:00:00+00:00,10,3.20,61,56

Mr. Holland's Opus,1995-12-29 00:00:00+00:00,5,2.80,62,57

Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12 00:00:00+00:00,4,3.50,63,58

Two If by Sea,1996-01-12 00:00:00+00:00,3,3.67,64,59

Bio-Dome,1996-01-12 00:00:00+00:00,5,3.60,65,60

Lawnmower Man 2: Beyond Cyberspace,1996-01-12 00:00:00+00:00,4,3.50,66,61

Two Bits,1995-10-22 00:00:00+00:00,2,2.00,67,62

French Twist,1995-02-08 00:00:00+00:00,3,2.67,68,63

Friday,1995-04-26 00:00:00+00:00,2,2.50,69,64

From Dusk Till Dawn,1996-01-19 00:00:00+00:00,3,3.00,70,65

Fair Game,1995-11-03 00:00:00+00:00,4,2.25,71,66

Kicking and Screaming,1995-10-06 00:00:00+00:00,9,3.33,72,67

Les Miserables,1995-03-22 00:00:00+00:00,3,1.00,73,68

Bed of Roses,1996-01-26 00:00:00+00:00,3,2.67,74,69

Big Bully,1996-01-26 00:00:00+00:00,4,4.00,75,70

Screamers,1995-09-08 00:00:00+00:00,4,2.00,76,71

Nico Icon,1995-02-18 00:00:00+00:00,6,4.00,77,72

The Crossing Guard,1995-11-15 00:00:00+00:00,4,2.00,78,73

The Juror,1996-02-02 00:00:00+00:00,29,2.83,79,74

The White Balloon,1995-01-01 00:00:00+00:00,5,3.40,80,75

Things to Do in Denver When You're Dead,1995-12-01 00:00:00+00:00,4,1.75,81,76

Antonia's Line,1995-09-12 00:00:00+00:00,4,2.75,82,77

Once Upon a Time... When We Were Colored,1996-01-26 00:00:00+00:00,4,4.25,83,78

Last Summer in the Hamptons,1995-11-22 00:00:00+00:00,5,2.20,84,79

Angels and Insects,1995-09-10 00:00:00+00:00,3,3.33,85,80

White Squall,1996-02-02 00:00:00+00:00,1,4.00,86,81

Dunston Checks In,1996-01-12 00:00:00+00:00,2,3.00,87,82

Black Sheep,1996-02-01 00:00:00+00:00,3,1.67,88,83

Nick of Time,1995-11-22 00:00:00+00:00,3,3.00,89,84

The Journey of August King,1995-09-14 00:00:00+00:00,2,1.00,90,85

Mary Reilly,1996-02-23 00:00:00+00:00,5,3.20,92,86

Vampire in Brooklyn,1995-10-26 00:00:00+00:00,2,2.00,93,87

Beautiful Girls,1996-02-09 00:00:00+00:00,26,3.58,94,88

Broken Arrow,1996-02-09 00:00:00+00:00,3,3.33,95,89

A Midwinter's Tale,1995-12-01 00:00:00+00:00,3,2.00,96,90

La Haine,1995-05-31 00:00:00+00:00,1,2.00,97,91

Shopping,1994-12-06 00:00:00+00:00,4,2.25,98,92

Heidi Fleiss: Hollywood Madam,1995-12-27 00:00:00+00:00,4,3.00,99,93

City Hall,1996-02-16 00:00:00+00:00,2,3.50,100,94

Bottle Rocket,1996-02-21 00:00:00+00:00,3,3.33,101,95

Mr. Wrong,1996-02-16 00:00:00+00:00,5,2.80,102,96

Unforgettable,1996-02-23 00:00:00+00:00,4,2.50,103,97

Happy Gilmore,1996-02-16 00:00:00+00:00,2,2.00,104,98

The Bridges of Madison County,1995-05-28 00:00:00+00:00,3,4.00,105,99

Nobody Loves Me,1994-11-07 00:00:00+00:00,6,3.00,106,100

Muppet Treasure Island,1996-02-16 00:00:00+00:00,2,3.00,107,101

Catwalk,1995-12-08 00:00:00+00:00,3,4.00,108,102

Headless Body in Topless Bar,1995-05-20 00:00:00+00:00,5,3.20,109,103

Braveheart,1995-05-24 00:00:00+00:00,3,2.33,110,104

Rumble in the Bronx,1995-01-30 00:00:00+00:00,5,3.00,112,105

Before and After,1996-02-23 00:00:00+00:00,3,4.67,113,106

Margaret's Museum,1995-09-13 00:00:00+00:00,3,2.67,114,107

Happiness Is in the Field,1995-01-31 00:00:00+00:00,5,3.00,115,108

Anne Frank Remembered,1995-06-08 00:00:00+00:00,7,3.14,116,109

The Young Poisoner's Handbook,1995-01-20 00:00:00+00:00,2,4.00,117,110

If Lucy Fell,1996-03-08 00:00:00+00:00,1,2.00,118,111

Steal Big Steal Little,1995-09-29 00:00:00+00:00,2,4.00,119,112

Race the Sun,1996-03-22 00:00:00+00:00,3,1.00,120,113

The Boys of St. Vincent,1992-12-06 00:00:00+00:00,6,2.83,121,114

Boomerang,1992-06-30 00:00:00+00:00,2,2.00,122,115

Chungking Express,1994-07-14 00:00:00+00:00,1,5.00,123,116

The Star Maker,1995-09-21 00:00:00+00:00,3,2.67,124,117

Flirting with Disaster,1996-03-22 00:00:00+00:00,23,3.83,125,118

The Neverending Story III: Escape from Fantasia,1994-10-26 00:00:00+00:00,13,2.92,126,119

The Silences of the Palace,1994-09-30 00:00:00+00:00,6,3.67,127,120

Jupiter's Wife,1995-01-01 00:00:00+00:00,3,2.67,128,121

Pie in the Sky,1996-02-09 00:00:00+00:00,5,2.00,129,122

Angela,1995-01-01 00:00:00+00:00,4,3.50,130,123

Frankie Starlight,1995-11-22 00:00:00+00:00,5,2.80,131,124

Jade,1995-10-13 00:00:00+00:00,3,3.67,132,125

Nueba Yol,1995-08-16 00:00:00+00:00,3,3.67,133,126

Sonic Outlaws,1995-08-01 00:00:00+00:00,4,3.25,134,127

Down Periscope,1996-03-01 00:00:00+00:00,1,4.00,135,128

From the Journals of Jean Seberg,1995-09-08 00:00:00+00:00,2,2.50,136,129

Man of the Year,1995-09-15 00:00:00+00:00,4,3.25,137,130

The Neon Bible,1995-08-23 00:00:00+00:00,4,4.00,138,131

Target,1995-08-01 00:00:00+00:00,3,3.33,139,132

Up Close & Personal,1996-03-01 00:00:00+00:00,5,3.80,140,133

The Birdcage,1996-03-08 00:00:00+00:00,4,3.50,141,134

Virgin Mary,1995-10-12 00:00:00+00:00,5,2.40,143,135

The Brothers McMullen,1995-08-09 00:00:00+00:00,3,3.33,144,136

Bad Boys,1995-04-07 00:00:00+00:00,3,3.00,145,137

The Amazing Panda Adventure,1995-08-25 00:00:00+00:00,5,3.60,146,138

The Basketball Diaries,1995-04-21 00:00:00+00:00,5,4.20,147,139

An Awfully Big Adventure,1995-07-21 00:00:00+00:00,3,2.00,148,140

Amateur,1994-08-05 00:00:00+00:00,5,2.80,149,141

Apollo 13,1995-06-30 00:00:00+00:00,5,3.40,150,142

Rob Roy,1995-04-13 00:00:00+00:00,55,3.45,151,143

The Addiction,1995-01-10 00:00:00+00:00,1,2.00,152,144

Batman Forever,1995-06-16 00:00:00+00:00,6,2.83,153,145

Belle de Jour,1967-05-24 00:00:00+00:00,7,3.57,154,146

Beyond Rangoon,1995-05-24 00:00:00+00:00,3,2.33,155,147

Blue in the Face,1995-09-15 00:00:00+00:00,2,4.50,156,148

Canadian Bacon,1995-06-08 00:00:00+00:00,5,2.60,157,149

Casper,1995-05-26 00:00:00+00:00,5,3.60,158,150

Clockers,1995-09-15 00:00:00+00:00,3,4.33,159,151

The Arrival of a Train at La Ciotat,1896-01-25 00:00:00+00:00,65,2.42,160,152

Crimson Tide,1995-05-12 00:00:00+00:00,83,3.83,161,153

Crumb,1994-09-10 00:00:00+00:00,4,3.75,162,154

Desperado,1995-08-25 00:00:00+00:00,4,2.75,163,155

Devil in a Blue Dress,1995-09-15 00:00:00+00:00,4,4.25,164,156

Die Hard: With a Vengeance,1995-05-19 00:00:00+00:00,5,3.40,165,157

The Doom Generation,1995-10-27 00:00:00+00:00,4,3.25,166,158

Feast of July,1995-10-12 00:00:00+00:00,6,2.83,167,159

First Knight,1995-07-07 00:00:00+00:00,6,2.67,168,160

Free Willy 2 - The Adventure Home,1995-07-19 00:00:00+00:00,2,1.00,169,161

Hackers,1995-09-14 00:00:00+00:00,3,3.67,170,162

Jeffrey,1995-08-18 00:00:00+00:00,2,2.00,171,163

Johnny Mnemonic,1995-05-26 00:00:00+00:00,4,3.00,172,164

Judge Dredd,1995-06-30 00:00:00+00:00,6,2.50,173,165

Jury Duty,1995-04-12 00:00:00+00:00,3,2.33,174,166

Kids,1995-07-28 00:00:00+00:00,2,5.00,175,167

Living in Oblivion,1995-01-20 00:00:00+00:00,3,2.67,176,168

Lord of Illusions,1995-08-25 00:00:00+00:00,5,2.80,177,169

Love & Human Remains,1993-05-20 00:00:00+00:00,5,3.20,178,170

Mad Love,1995-05-26 00:00:00+00:00,6,3.33,179,171

Mallrats,1995-10-20 00:00:00+00:00,5,3.80,180,172

Mighty Morphin Power Rangers: The Movie,1995-06-30 00:00:00+00:00,19,2.05,181,173

Moonlight and Valentino,1995-09-29 00:00:00+00:00,3,3.33,182,174

Mute Witness,1995-09-28 00:00:00+00:00,4,3.25,183,175

Nadja,1994-09-13 00:00:00+00:00,6,3.00,184,176

The Net,1995-07-28 00:00:00+00:00,5,3.40,185,177

Nine Months,1995-07-12 00:00:00+00:00,4,4.00,186,178

Party Girl,1995-06-09 00:00:00+00:00,3,2.67,187,179

The Prophecy,1995-09-01 00:00:00+00:00,21,3.19,188,180

Reckless,1995-11-17 00:00:00+00:00,7,4.29,189,181

Safe,1995-06-23 00:00:00+00:00,8,4.00,190,182

The Scarlet Letter,1995-10-13 00:00:00+00:00,12,2.92,191,183

The Show,1995-08-25 00:00:00+00:00,2,4.00,192,184

Showgirls,1995-09-22 00:00:00+00:00,3,3.00,193,185

Smoke,1995-06-09 00:00:00+00:00,4,3.00,194,186

Something to Talk About,1995-08-04 00:00:00+00:00,2,4.00,195,187

Species,1995-07-07 00:00:00+00:00,4,3.75,196,188

The Stars Fell on Henrietta,1995-09-15 00:00:00+00:00,1,4.00,197,189

Strange Days,1995-10-13 00:00:00+00:00,4,4.50,198,190

The Umbrellas of Cherbourg,1964-02-19 00:00:00+00:00,3,4.00,199,191

The Tie That Binds,1995-09-08 00:00:00+00:00,4,2.00,200,192

Three Wishes,1995-10-27 00:00:00+00:00,6,2.50,201,193

Total Eclipse,1995-11-02 00:00:00+00:00,9,3.22,202,194

"To Wong Foo, Thanks for Everything! Julie Newmar",1995-09-07 00:00:00+00:00,6,3.50,203,195

Under Siege 2: Dark Territory,1995-07-13 00:00:00+00:00,5,4.00,204,196

Unstrung Heroes,1995-09-15 00:00:00+00:00,4,2.25,205,197

Unzipped,1995-08-11 00:00:00+00:00,7,2.29,206,198

A Walk in the Clouds,1995-08-11 00:00:00+00:00,8,1.88,207,199

Waterworld,1995-07-28 00:00:00+00:00,114,2.83,208,200

White Man's Burden,1995-12-01 00:00:00+00:00,11,3.09,209,201

Wild Bill,1995-12-01 00:00:00+00:00,4,3.00,210,202

The Browning Version,1994-10-12 00:00:00+00:00,1,5.00,211,203

Bushwhacked,1995-08-04 00:00:00+00:00,3,2.67,212,204

Burnt by the Sun,1994-05-01 00:00:00+00:00,5,3.40,213,205

Before the Rain,1994-06-09 00:00:00+00:00,3,3.00,214,206

Billy Madison,1995-02-10 00:00:00+00:00,7,2.29,216,207

The Babysitter,1995-10-17 00:00:00+00:00,4,2.75,217,208

Boys on the Side,1995-02-03 00:00:00+00:00,4,1.75,218,209

The Cure,1995-04-21 00:00:00+00:00,5,3.20,219,210

Castle Freak,1995-08-04 00:00:00+00:00,3,2.67,220,211

Circle of Friends,1995-03-16 00:00:00+00:00,4,2.50,222,212

Clerks,1994-09-13 00:00:00+00:00,4,2.75,223,213

Don Juan DeMarco,1994-10-01 00:00:00+00:00,1,2.00,224,214

Disclosure,1994-12-09 00:00:00+00:00,4,2.75,225,215

Dream Man,1995-01-01 00:00:00+00:00,1,3.00,226,216

Drop Zone,1994-12-08 00:00:00+00:00,4,3.00,227,217

Destiny Turns on the Radio,1995-04-28 00:00:00+00:00,1,3.00,228,218

Death and the Maiden,1994-05-04 00:00:00+00:00,7,3.00,229,219

Dolores Claiborne,1995-03-24 00:00:00+00:00,30,3.57,230,220

Dumb and Dumber,1994-12-16 00:00:00+00:00,4,3.25,231,221

Eat Drink Man Woman,1994-08-03 00:00:00+00:00,4,3.00,232,222

Exotica,1994-09-24 00:00:00+00:00,2,2.00,233,223

Exit to Eden,1994-10-14 00:00:00+00:00,5,2.40,234,224

Ed Wood,1994-09-27 00:00:00+00:00,2,3.50,235,225

French Kiss,1995-05-05 00:00:00+00:00,6,2.67,236,226

Forget Paris,1995-05-19 00:00:00+00:00,3,2.00,237,227

Far from Home: The Adventures of Yellow Dog,1995-01-13 00:00:00+00:00,4,2.25,238,228

A Goofy Movie,1995-04-07 00:00:00+00:00,1,1.00,239,229

Hideaway,1995-03-03 00:00:00+00:00,5,3.40,240,230

Fluke,1995-06-02 00:00:00+00:00,3,3.67,241,231

Farinelli,1994-12-07 00:00:00+00:00,6,2.33,242,232

Gordy,1995-05-12 00:00:00+00:00,3,2.67,243,233

Gumby: The Movie,1995-12-01 00:00:00+00:00,3,3.33,244,234

The Glass Shield,1994-09-16 00:00:00+00:00,2,3.50,245,235

Hoop Dreams,1994-09-12 00:00:00+00:00,3,3.67,246,236

Heavenly Creatures,1994-09-02 00:00:00+00:00,2,5.00,247,237

Houseguest,1995-01-06 00:00:00+00:00,4,3.50,248,238

Immortal Beloved,1994-12-16 00:00:00+00:00,1,5.00,249,239

Heavyweights,1995-02-17 00:00:00+00:00,4,3.50,250,240

The Hunted,1995-02-24 00:00:00+00:00,6,2.83,251,241

I.Q.,1994-12-24 00:00:00+00:00,2,4.00,252,242

Interview with the Vampire,1994-11-11 00:00:00+00:00,4,3.50,253,243

Jefferson in Paris,1995-03-31 00:00:00+00:00,7,3.14,254,244

The Jerky Boys,1995-02-03 00:00:00+00:00,3,2.33,255,245

Junior,1994-11-22 00:00:00+00:00,3,3.67,256,246

Just Cause,1995-02-17 00:00:00+00:00,15,3.53,257,247

A Kid in King Arthur's Court,1995-08-11 00:00:00+00:00,5,2.40,258,248

Kiss of Death,1995-04-21 00:00:00+00:00,4,2.75,259,249

